랭킹,게임이름,장르1,장르2
1,오딘: 발할라 라이징,롤플레잉,액션
2,리니지M,롤플레잉,-
3,블레이드&소울2,롤플레잉,-
4,삼국지 전략판,전략,시뮬레이션
5,리니지2M,롤플레잉,액션
6,원신-1주년,어드벤처,롤플레잉
7,FIFA ONLINE 4 M by EA SPORTS™,스포츠,시뮬레이션
8,기적의 검,롤플레잉,액션
9,히어로즈 테일즈,롤플레잉,어드벤처
10,제2의 나라: CROSS WORLDS,롤플레잉,어드벤처
11,쿠키런: 킹덤,롤플레잉,-
12,바람의나라: 연,롤플레잉,액션
13,라이즈 오브 킹덤즈,전략,롤플레잉
14,블레이드&소울 레볼루션,롤플레잉,-
15,MARVEL 퓨처 레볼루션,롤플레잉,-
16,세븐나이츠2,롤플레잉,-
17,뮤 아크엔젤,롤플레잉,-
18,카트라이더 러쉬플러스,자동차 경주,스포츠
19,ROBLOX,어드벤처,-
20,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,전략,-
21,한게임 포커,카지노,카드
22,나의 히어로 아카데미아: 최강 히어로,액션,-
23,에픽세븐,롤플레잉,전략
24,피파모바일,스포츠,-
25,V4,롤플레잉,-
26,R2M,롤플레잉,-
27,리니지2 레볼루션,-,-
28,천상나르샤,롤플레잉,-
29,뮤 아크엔젤2,롤플레잉,-
30,월드 플리퍼,액션,-
31,미르4,롤플레잉,-
32,피망 포커: 카지노 로얄 (7포커/ 로우바둑이/ 하이로우),카지노,카드
33,갑부: 장사의 시대,시뮬레이션,롤플레잉
34,건쉽배틀 토탈워페어,전략,시뮬레이션
35,가디언 테일즈,롤플레잉,-
36,그랑삼국,롤플레잉,카드
37,배틀그라운드,액션,-
38,영검,롤플레잉,-
39,엠파이어 & 퍼즐 (Empires & Puzzles),퍼즐,전략
40,윈조이 포커 - 홀덤/ 블랙잭/ 바카라/ 슬롯/ 7포커/ 로우바둑이/ 뉴포커를 동시에!,카지노,-
41,라스트 쉘터: 서바이벌,전략,롤플레잉
42,브롤스타즈,액션,-
43,라이즈 오브 엠파이어,전략,롤플레잉
44,꿈의 집 (Homescapes),캐주얼 게임,시뮬레이션
45,메이플스토리M,롤플레잉,-
46,에이지 오브 제트: 타워 디펜스,전략,-
47,한게임포커 클래식 with PC,카지노,-
48,컴투스프로야구2021,스포츠,시뮬레이션
49,원펀맨: 최강의 남자,롤플레잉,-
50,꿈의 정원 (Gardenscapes),캐주얼 게임,시뮬레이션
51,퍼즐 오브 Z,롤플레잉,-
52,황제라 칭하라,롤플레잉,전략
53,궁3D,롤플레잉,-
54,왕이되는자 - 서민에서 왕까지/ 세상을 흔드는 자,롤플레잉,전략
55,디 앤츠: 언더그라운드 킹덤,전략,-
56,A3: 스틸얼라이브,롤플레잉,-
57,로드 모바일: 타워 디펜스,전략,-
58,프렌즈샷: 누구나골프,스포츠,-
59,ONE PIECE TREASURE CRUISE,롤플레잉,어드벤처
60,슬레이어 키우기,시뮬레이션,-
61,라그나로크 오리진,롤플레잉,-
62,소녀X헌터,롤플레잉,-
63,랜덤 다이스(Random Dice): PvP 디펜스,전략,시뮬레이션
64,신명2:아수라,롤플레잉,-
65,마피아 시티,전략,-
66,백야극광,롤플레잉,-
67,음양문,롤플레잉,-
68,검은사막 모바일,롤플레잉,-
69,마구마구 2021,스포츠,-
70,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,아케이드,액션
71,모두의마블,보드,퍼즐
72,로드 오브 히어로즈,롤플레잉,-
73,Top War: Battle Game,전략,-
74,킹덤 : 전쟁의 불씨,롤플레잉,-
75,AFK 아레나,롤플레잉,전략
76,코노스바 모바일 - 판타스틱 데이즈,롤플레잉,-
77,캔디크러쉬사가,캐주얼 게임,퍼즐
78,에오스 레드,롤플레잉,-
79,데카론M,롤플레잉,-
80,황제의 꿈,시뮬레이션,-
81,붕괴3rd,액션,-
82,피망 뉴맞고: 고스톱 대표 맞고 게임,카드,보드
83,피쉬돔 (Fishdom),퍼즐,-
84,King of Avalon: 영토 전쟁,전략,롤플레잉
85,한게임 섯다&맞고,카드,-
86,리그 오브 레전드: 와일드 리프트,전략,-
87,무협지존: 영웅문,롤플레잉,-
88,파이널삼국지2,롤플레잉,액션
89,트릭스터M,롤플레잉,-
90,삼국지군웅전,전략,-
91,에브리타운,시뮬레이션,-
92,슬램덩크,스포츠,-
93,임모탈 키우기 :  국산 방치형 액션 RPG,시뮬레이션,-
94,마피아42,전략,-
95,서머너즈 워: 천공의 아레나,롤플레잉,-
96,케페우스M,롤플레잉,어드벤처
97,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,전략,-
98,사신키우기 온라인 : 신규서버 오픈,시뮬레이션,-
99,달빛조각사,롤플레잉,-
100,삼국지 오리진,전략,롤플레잉
101,더 킹 오브 파이터즈98 UM온라인,롤플레잉,액션
102,클래시 오브 클랜,전략,액션
103,인피니트 라그랑주,전략,-
104,애니팡4,퍼즐,-
105,라스트오리진,롤플레잉,-
106,MLB 9이닝스 21,스포츠,시뮬레이션
107,신삼국지 모바일-코에이 테크모 인증,전략,-
108,냥코 대전쟁,캐주얼 게임,시뮬레이션
109,올인삼국,전략,-
110,MARVEL 퓨처파이트,롤플레잉,액션
111,한게임 신맞고 : 대한민국 원조 고스톱,카드,보드
112,꿈의 마을 (Township),캐주얼 게임,어드벤처
113,Pokémon GO,어드벤처,Health & Fitness
114,랑그릿사,전략,롤플레잉
115,Project Makeover,캐주얼 게임,퍼즐
116,뮤오리진2,롤플레잉,-
117,전략적 팀 전투: 리그 오브 레전드 전략 게임,전략,액션
118,궁수의 전설,액션,아케이드
119,에보니 - 왕의 귀환,전략,Games
120,조선협객전M,롤플레잉,-
121,애니팡3,퍼즐,-
122,십이지천M,롤플레잉,-
123,Guns of Glory: 철가면,전략,롤플레잉
124,삼국지M,전략,-
125,리치리치,시뮬레이션,-
126,카운터사이드,롤플레잉,전략
127,뇌명천하2 리턴즈,롤플레잉,액션
128,클래시 로얄,전략,-
129,Hero Wars,롤플레잉,-
130,삼국지 각성,전략,-
131,앙상블스타즈!!,음악,-
132,완미세계,롤플레잉,-
133,에이스 디펜더: 드래곤 슬레이어 전쟁,롤플레잉,-
134,삼국지혼,롤플레잉,-
135,라이프애프터,어드벤처,액션
136,타임 프린세스,롤플레잉,아케이드
137,검은강호2: MMORPG 유저 원픽,롤플레잉,-
138,캐리비안의 해적: 전쟁의 물결,전략,시뮬레이션
139,프로야구 H3,스포츠,-
140,프로야구 H2,스포츠,시뮬레이션
141,오늘도 우라라 원시 헌팅 라이프,롤플레잉,어드벤처
142,리니지M(12),롤플레잉,-
143,컴투스프로야구매니저,스포츠,시뮬레이션
144,모바일 레전드: Bang Bang,액션,-
145,WPL : 텍사스 홀덤/ 토너먼트/ 싯앤고,카지노,-
146,eFootball PES 2021,스포츠,-
147,패밀리 아일랜드 - 농장모험게임,캐주얼 게임,시뮬레이션
148,명일방주,-,-
149,후궁의 법칙,롤플레잉,어드벤처
150,Art of War: Legions,전략,-
151,블라스트M,롤플레잉,액션
152,마법소녀 키우기,시뮬레이션,-
153,프렌즈팝콘,퍼즐,보드
154,Minecraft,아케이드,시뮬레이션
155,트라하,롤플레잉,-
156,관우 키우기 - 국산 삼국지 방치형 RPG,시뮬레이션,-
157,블리치: 만해의 길,롤플레잉,전략
158,패밀리팜 어드벤처,시뮬레이션,어드벤처
159,Yu-Gi-Oh! Duel Links,카드,-
160,궁정계,롤플레잉,-
161,더 워킹데드: 서바이버즈,전략,-
162,찐삼국,롤플레잉,-
163,아르카,롤플레잉,-
164,애니팡2,퍼즐,-
165,킹 오브 파이터 올스타,액션,-
166,카이로스 : 어둠을 밝히는 자,롤플레잉,-
167,프렌즈팝,퍼즐,-
168,마이티 파워: 배틀 히어로즈. 매직 레전드.,롤플레잉,-
169,달토끼 키우기,시뮬레이션,-
170,팬덤시티 - 실사풍 미녀 게임,롤플레잉,-
171,랭커,롤플레잉,-
172,Mech Arena (메크 아레나): Robot Showdown,액션,-
173,Toon Blast,퍼즐,아케이드
174,스테리테일,롤플레잉,-
175,위 베어 베어스 더 퍼즐,퍼즐,-
176,BIGPOT 999,보드,-
177,숨겨진 유산,-,-
178,DRAGON BALL Z 폭렬격전,액션,퍼즐
179,쾌남본좌,롤플레잉,-
180,ANOTHER EDEN 시공을 넘는 고양이,-,-
181,페이트/그랜드 오더,-,-
182,좀비고등학교,아케이드,어드벤처
183,삼국블레이드,롤플레잉,액션
184,키스오브워,전략,-
185,레이드: 그림자의 전설,롤플레잉,-
186,더킹 : 밤의 제왕,롤플레잉,-
187,1945 공군: 슈팅 비행기게임 - 고전게임,아케이드,-
188,낚시 클래시: 스포츠 낚시 게임 (Fishing Clash),시뮬레이션,스포츠
189,동방불패 모바일,롤플레잉,-
190,라스트 엠파이어 워 Z,전략,-
191,미해결사건부,시뮬레이션,롤플레잉
192,종말도시: MMORPG,롤플레잉,-
193,클래시 오브 킹즈 (Clash of kings) : 새로운 캐슬 영야성,전략,롤플레잉
194,데스티니 차일드,시뮬레이션,-
195,놀러와 마이홈,시뮬레이션,-
196,행복의 저택,퍼즐,-
197,애니팡 포커,카지노,카드
198,닌자대전,롤플레잉,-
199,캔디크러쉬소다,캐주얼 게임,아케이드
200,클론다이크 대탐험,시뮬레이션,-
